Creek Will Rise,Country
Swerve,Country
Summertime,Country
Wildflowers and Wild Horses,Country
That's My Kind of Night,Country
Life is a Highway,Country
Good Godly Women ,Country
Dawns,Country
Motto,Hip-Hop
Make Some Noise,Hip-Hop
IDGAF,Hip-Hop
Work,Hip-Hop
Lifestyle,Hip-Hop
Rick owens,Hip-Hop
Backrooms ,Hip-Hop
Evil jordan,Hip-Hop
Fein,Hip-Hop
Ur the moon,Hip-Hop
2024,Hip-Hop
Can I Kick It?,Hip-Hop
All Falls Down [Clean],Hip-Hop
United in Grief,Hip-Hop
Walk Em Down (Clean Version),Hip-Hop
Freestyle,Hip-Hop
93 'Till Infinity,Hip-Hop
Ice Ice Baby,Hip-Hop
Mischief on My Mind ,Hip-Hop
 Blizzard ,Hip-Hop
Runaway ,Hip-Hop
Sabotage [Clean],Hip-Hop
2k23 ,Hip-Hop
4 wheeler ,Hip-Hop
deck the halls ,Hip-Hop
Dinosaur ,Hip-Hop
Honey Bun ,Hip-Hop
pirates on a boat ,Hip-Hop
Put the money in the bag ,Hip-Hop
Merry Go Round of Life,Other
Razormind,Other
Nepituno,Other
Real love baby,Other
Cut My Life in 2 pizzas(Last Resort - Papa Roach Parody),Other
Put Your Reconds On,Other
Bones in the Ocean,Other
Still Alive,Other
Roundabout,Other
pretty when i cry ,Pop
Beautiful Things,Pop
...Baby One More Time,Pop
Never Gonna Give You Up (Japanese Version),Pop
No Fear,Pop
Virtual Insanity (Remastered 2006),Pop
10 things i hate about you,Pop
Unwritten,Pop
Paper RIngs,Pop
Tolerate it,Pop
Invisible String,Pop
The Hills,Pop
Dark Red ,R&B
Lost ,R&B
Borderline,R&B
It's Been A Long Long Time ,R&B
"Sex, Drugs, ect.",R&B
Poison ,R&B
When I Was Your Man,R&B
Shut up My Moms Calling,R&B
Awkward ,R&B
Ghost in the machine,R&B
Saturn,R&B
Brocken clocks,R&B
One of the girls,R&B
Don't ,R&B
Trust Issues ,R&B
Only Girl ,R&B
Blackbird,Rock
viva la vida,Rock
Tenebre Rosso Sangue,Rock
A tout le Monde,Rock
Bfg Division,Rock
Harbinger,Rock
Wolfpack,Rock
Arabella,Rock
The Pretender,Rock
Free Bird,Rock
Come As You Are ,Rock
Everlong,Rock
Head over heels ,Rock
